id,x,y,t
8066179,-76.99436589,38.88868142,2008-05-16T22:15:00.000Z
8147107,-77.00891503,38.81938836,2008-10-16T00:45:00.000Z
8147192,-77.03156639,38.95187971,2008-10-16T08:45:00.000Z
8147980,-76.92632072,38.89354086,2008-10-17T18:30:00.000Z
8147984,-76.95909874,38.8624059,2008-10-17T18:00:00.000Z
8148076,-77.03156179,38.96756309,2008-10-17T20:15:00.000Z
8148110,-76.98027623,38.86303298,2008-10-17T21:00:00.000Z
8145440,-77.01065508,38.82779312,2008-10-12T14:58:00.000Z
8146180,-76.95867119,38.88443129,2008-10-14T03:15:00.000Z
8146213,-77.03079167,38.92108955,2008-10-14T08:00:00.000Z
8150406,-77.04345574,38.90605961,2008-10-22T06:45:00.000Z
8150505,-76.99251531,38.94932538,2008-10-22T11:37:00.000Z
8150517,-76.97441585,38.91495613,2008-10-22T12:15:00.000Z
8150545,-76.97441585,38.91495613,2008-10-22T13:15:00.000Z
8148951,-77.02421419,38.94190929,2008-10-19T10:00:00.000Z
8145331,-77.01991122,38.89906651,2008-10-12T09:30:00.000Z
8145387,-76.93600441,38.90541058,2008-10-12T12:20:00.000Z
8143033,-76.99345091,38.93660573,2008-10-08T08:15:00.000Z
8143056,-76.97309831,38.86190549,2008-10-08T00:00:00.000Z
8143163,-76.93263066,38.87648278,2008-10-08T15:00:00.000Z
8148663,-77.00991313,38.8755469,2008-10-18T19:00:00.000Z
8148688,-76.97715221,38.90371428,2008-10-18T18:50:00.000Z
8146036,-77.03456749,38.907594,2008-10-13T20:45:00.000Z
8146043,-76.983747,38.85170992,2008-10-13T20:22:00.000Z
8150215,-77.05906325,38.97204755,2008-10-21T20:00:00.000Z
8152183,-77.01367657,38.90964321,2008-10-25T13:30:00.000Z
8150757,-77.0013053,38.91811184,2008-10-22T20:46:00.000Z
8142321,-77.00359537,38.8264603,2008-10-06T20:00:00.000Z
8149413,-77.01129841,38.96324284,2008-10-20T12:40:00.000Z
8150380,-77.01258979,38.82739656,2008-10-22T02:50:00.000Z
8140590,-77.03955816,38.90475479,2008-10-03T12:30:00.000Z
8141708,-77.08307009,38.93583772,2008-10-05T11:50:00.000Z
8142334,-76.98949243,38.95204565,2008-10-06T19:40:00.000Z
8142344,-77.00572593,38.82692865,2008-10-06T21:29:00.000Z
8142438,-76.92938304,38.88584058,2008-10-07T01:52:00.000Z
8151809,-76.97398492,38.86353622,2008-10-24T21:55:00.000Z
8151924,-77.00807488,38.92524616,2008-10-25T01:30:00.000Z
8151968,-76.98509632,38.84483666,2008-10-25T03:00:00.000Z
8143524,-77.04490756,38.9046988,2008-10-09T04:50:00.000Z
8143567,-77.04346644,38.90469935,2008-10-09T09:30:00.000Z
8143574,-77.02431258,38.92600962,2008-10-09T10:30:00.000Z
8143583,-77.04346644,38.90469935,2008-10-09T09:30:00.000Z
8144461,-77.05645441,38.92729571,2008-10-10T20:00:00.000Z
8144487,-76.98027623,38.86303298,2008-10-10T21:00:00.000Z
8144538,-76.97128296,38.84914912,2008-10-10T21:30:00.000Z
8144587,-76.9665451,38.85586815,2008-10-10T23:00:00.000Z
8180333,-77.03260979,38.91261221,2008-12-22T08:57:00.000Z
8180387,-76.97520393,38.90347967,2008-12-22T13:10:00.000Z
8177323,-77.04715039,38.91409362,2008-12-16T12:30:00.000Z
8177349,-77.03261762,38.90453172,2008-12-16T13:10:00.000Z
8179696,-77.03650833,38.91520546,2008-12-20T20:19:00.000Z
8183400,-76.92912342,38.90353287,2008-12-29T12:30:00.000Z
8183413,-76.99152577,38.83063998,2008-12-29T20:00:00.000Z
8183438,-77.00905403,38.91663413,2008-12-29T15:30:00.000Z
8183463,-77.01293051,38.86462842,2008-12-29T15:00:00.000Z
8183498,-77.03985323,38.91700603,2008-12-29T18:30:00.000Z
8183529,-77.03985323,38.91700603,2008-12-29T19:55:00.000Z
8183549,-76.92894304,38.8878672,2008-12-29T18:35:00.000Z
8181704,-76.9665451,38.85586815,2008-12-25T08:30:00.000Z
8181762,-77.02655934,38.98239188,2008-12-25T13:25:00.000Z
8177948,-76.97892226,38.84388982,2008-12-17T18:00:00.000Z
8178149,-76.99101904,38.83051382,2008-12-18T00:30:00.000Z
8183867,-76.99145435,38.9462715,2008-12-30T13:30:00.000Z
8183957,-76.9907763,38.83730618,2008-12-30T17:52:00.000Z
8184013,-76.96778364,38.86857037,2008-12-30T19:15:00.000Z
8184073,-76.97989401,38.87011352,2008-12-30T22:25:00.000Z
8178688,-77.01136975,38.90416638,2008-12-19T04:30:00.000Z
8176467,-77.03955816,38.90475479,2008-12-14T14:30:00.000Z
8176635,-76.92825679,38.89403752,2008-12-15T16:00:00.000Z
8180404,-77.03261762,38.90453172,2008-12-22T12:15:00.000Z
8180394,-77.0434369,38.91298704,2008-12-22T10:45:00.000Z
8183623,-76.92418791,38.89380974,2008-12-29T22:00:00.000Z
8183768,-76.98529257,38.84281879,2008-12-30T07:30:00.000Z
8183792,-77.02885755,38.90048796,2008-12-30T11:00:00.000Z
8183796,-76.97362636,38.89840762,2008-12-30T10:20:00.000Z
8183830,-77.03281214,38.9013337,2008-12-30T11:25:00.000Z
8180884,-76.97842173,38.89925539,2008-12-23T13:30:00.000Z
8178202,-76.99419737,38.83489213,2008-12-18T08:00:00.000Z
8178240,-77.03753942,38.90253039,2008-12-18T10:00:00.000Z
8178322,-76.9749068,38.86324815,2008-12-18T11:50:00.000Z
8178342,-76.98044187,38.84725924,2008-12-18T16:00:00.000Z
8184115,-76.98689383,38.90488687,2008-12-30T23:30:00.000Z
8184181,-77.04772394,38.90964327,2008-12-31T03:00:00.000Z
8181934,-76.97813733,38.88685081,2008-12-25T23:50:00.000Z
8182010,-77.03644261,38.94453654,2008-12-26T08:30:00.000Z
8182013,-77.02500381,38.92396458,2008-12-26T08:59:00.000Z
8182354,-77.00768413,38.83081119,2008-12-27T03:24:00.000Z
8182357,-76.98137732,38.92656017,2008-12-27T02:56:00.000Z
8182456,-77.01293051,38.86462842,2008-12-27T10:45:00.000Z
8111527,-77.02456117,38.9111278,2008-08-08T04:50:00.000Z
8180776,-76.93420531,38.88103292,2008-12-23T07:00:00.000Z
8180795,-76.97292245,38.93063928,2008-12-23T08:20:00.000Z
8174061,-76.9973282,38.88787077,2008-12-09T20:25:00.000Z
8174121,-76.93007104,38.87770642,2008-12-09T19:45:00.000Z
8183066,-77.01109175,38.82163128,2008-12-28T18:06:00.000Z
8183074,-77.06171547,38.94315667,2008-12-28T18:00:00.000Z
8183182,-77.00826018,38.83247772,2008-12-28T00:05:00.000Z
8183193,-77.07284219,38.91595417,2008-12-28T23:45:00.000Z
8181057,-77.04295555,38.91782469,2008-12-23T19:00:00.000Z
8181108,-77.02417386,38.92502774,2008-12-23T21:29:00.000Z
8165565,-76.92968405,38.88448951,2008-11-21T12:30:00.000Z
8165567,-76.93073242,38.88496758,2008-11-21T12:30:00.000Z
8165599,-77.02973674,38.93543106,2008-11-21T12:41:00.000Z
8165623,-76.974457,38.89664216,2008-11-21T14:02:00.000Z
8165738,-76.99186801,38.85934091,2008-11-21T17:20:00.000Z
8178924,-77.05811952,38.96101291,2008-12-19T17:10:00.000Z
8179265,-77.02417386,38.92502774,2008-12-20T01:30:00.000Z
8184346,-76.94091343,38.89435089,2008-12-31T13:00:00.000Z
8184351,-76.98407604,38.92599305,2008-12-31T13:50:00.000Z
8184475,-77.02192149,38.91335339,2008-12-31T18:30:00.000Z
8168765,-77.01109175,38.82163128,2008-11-28T09:45:00.000Z
8168851,-77.01215636,38.91970569,2008-11-28T14:10:00.000Z
8168888,-76.93007104,38.87770642,2008-11-28T17:00:00.000Z
8182486,-77.00737149,38.92604795,2008-12-27T11:31:00.000Z
8182491,-77.03646125,38.93588857,2008-12-27T13:02:00.000Z
8182521,-76.99086004,38.90303152,2008-12-27T13:45:00.000Z
8182551,-76.99358653,38.83934228,2008-12-27T15:05:00.000Z
8172522,-77.07496034,38.91261073,2008-12-06T12:00:00.000Z
8175015,-76.99179853,38.86242178,2008-12-11T18:00:00.000Z
8175028,-77.04772277,38.90790466,2008-12-11T18:30:00.000Z
8175082,-77.03752011,38.90964699,2008-12-11T22:46:00.000Z
8175116,-77.01006845,38.83289197,2008-12-11T21:10:00.000Z
8175238,-76.98457796,38.89812131,2008-12-12T04:59:00.000Z
8175243,-76.9733984,38.92236976,2008-12-12T06:15:00.000Z
8183214,-77.00359537,38.8264603,2008-12-29T01:00:00.000Z
8183229,-77.05914516,38.90389973,2008-12-29T02:00:00.000Z
8183253,-77.00589899,38.8307122,2008-12-29T04:25:00.000Z
8183260,-77.02395776,38.93399105,2008-12-29T05:30:00.000Z
8183275,-76.97096709,38.86102216,2008-12-29T08:05:00.000Z
8183331,-76.99365645,38.83021671,2008-12-29T10:15:00.000Z
8183341,-77.03273613,38.9366734,2008-12-29T10:30:00.000Z
8183367,-77.01252138,38.96270222,2008-12-29T12:30:00.000Z
8181376,-77.09480035,38.95332289,2008-12-24T11:30:00.000Z
8181432,-76.98691774,38.90020252,2008-12-24T15:30:00.000Z
8181482,-77.0121827,38.87139381,2008-12-24T17:00:00.000Z
8181540,-77.01142204,38.87074528,2008-12-24T20:00:00.000Z
8161848,-76.9943658,38.88980746,2008-11-13T19:30:00.000Z
8161857,-76.9730366,38.90326299,2008-11-13T20:15:00.000Z
8179411,-77.02372657,38.93243266,2008-12-20T10:04:00.000Z
8196497,-77.02518017,38.93352237,2008-11-02T20:45:00.000Z
8182780,-76.96937156,38.84702264,2008-12-27T23:35:00.000Z
8182937,-77.00780793,38.90964375,2008-12-28T13:00:00.000Z
8182966,-77.00057814,38.83213569,2008-12-28T13:05:00.000Z
8149051,-77.01961786,38.88032012,2008-10-19T14:30:00.000Z
8149581,-77.03358254,38.92155721,2008-10-20T16:00:00.000Z
8149630,-76.99988706,38.85935921,2008-10-20T17:30:00.000Z
8140747,-77.01066221,38.87554683,2008-10-03T17:45:00.000Z
8140753,-76.99496487,38.89418556,2008-10-03T18:45:00.000Z
8140782,-77.03769961,38.92205141,2008-10-03T17:30:00.000Z
8140847,-77.01109175,38.82163128,2008-10-03T21:15:00.000Z
8140858,-76.97398492,38.86353622,2008-10-03T20:25:00.000Z
8141738,-77.01464412,38.90502181,2008-10-05T12:52:00.000Z
8151593,-77.00906442,38.9076438,2008-10-25T02:00:00.000Z
8151635,-77.03280116,38.90252281,2008-10-24T15:57:00.000Z
8151742,-77.02201979,38.93298251,2008-10-24T19:19:00.000Z
8143695,-76.93947087,38.88271133,2008-10-09T15:00:00.000Z
8143713,-77.03079954,38.9126127,2008-10-09T15:00:00.000Z
8143737,-76.9995185,38.84010817,2008-10-09T16:00:00.000Z
8143749,-77.02647642,38.94559319,2008-10-09T16:30:00.000Z
8143758,-77.01109175,38.82163128,2008-10-09T18:35:00.000Z
8143862,-77.05925392,38.90991725,2008-10-09T18:45:00.000Z
8144746,-76.98446045,38.90838181,2008-10-11T04:57:00.000Z
8144815,-76.97941155,38.86480749,2008-10-11T09:30:00.000Z
8142534,-77.04489714,38.90645544,2008-10-07T09:15:00.000Z
8142647,-76.98149793,38.86173596,2008-10-07T17:00:00.000Z
8142693,-77.01065508,38.82779312,2008-10-07T16:00:00.000Z
8147316,-77.03460234,38.93188945,2008-10-16T13:25:00.000Z
8147418,-76.98294135,38.89667073,2008-10-16T17:40:00.000Z
8148235,-77.02370485,38.9364774,2008-10-18T00:30:00.000Z
8148326,-76.99025101,38.88841089,2008-10-18T04:21:00.000Z
8145710,-77.02971702,38.94346646,2008-10-13T03:39:00.000Z
8145764,-76.97113954,38.91895507,2008-10-13T04:27:00.000Z
8145812,-76.99955303,38.84402685,2008-10-13T10:15:00.000Z
8152791,-76.9905657,38.94927119,2008-10-26T17:30:00.000Z
8151363,-76.99320035,38.90316681,2008-10-24T00:45:00.000Z
8151456,-76.97923289,38.84523213,2008-10-24T08:30:00.000Z
8151485,-76.99959847,38.95908158,2008-10-24T09:00:00.000Z
8151512,-77.04257929,38.90565456,2008-10-24T11:00:00.000Z
8149121,-77.03457762,38.90469331,2008-10-19T17:10:00.000Z
8141125,-77.00561058,38.82455943,2008-10-04T10:30:00.000Z
8142062,-77.00677459,38.9552889,2008-10-06T09:40:00.000Z
8143956,-77.01109175,38.82163128,2008-10-09T22:00:00.000Z
8143999,-77.00889252,38.82360433,2008-10-10T01:05:00.000Z
8144070,-76.97071943,38.84683381,2008-10-10T00:45:00.000Z
8144074,-76.99307781,38.85905271,2008-10-10T03:18:00.000Z
8144971,-77.0027829,38.95956799,2008-10-11T16:30:00.000Z
8145060,-77.07202026,38.92416126,2008-10-11T19:54:00.000Z
8145203,-77.03979733,38.94081502,2008-10-12T00:50:00.000Z
8142800,-76.99893076,38.85993574,2008-10-07T19:30:00.000Z
8142886,-77.05637103,38.90936016,2008-10-07T21:20:00.000Z
8142971,-76.98816267,38.83146846,2008-10-08T02:00:00.000Z
8009305,-76.98685899,38.84368379,2008-01-21T10:15:00.000Z
8147755,-77.03641303,38.95437359,2008-10-17T07:30:00.000Z
8145825,-77.05201954,38.91860473,2008-10-13T10:05:00.000Z
8145841,-76.94091142,38.89678315,2008-10-13T12:30:00.000Z
8145913,-77.08459644,38.9585375,2008-10-13T15:10:00.000Z
8151140,-76.93860452,38.91175385,2008-10-23T17:30:00.000Z
8151197,-77.0020868,38.82870345,2008-10-23T16:54:00.000Z
8149225,-77.03085536,38.96167188,2008-10-17T00:00:00.000Z
8149374,-76.98753961,38.90396809,2008-10-20T09:00:00.000Z
8072161,-76.98044092,38.85070948,2008-05-28T14:50:00.000Z
8072257,-77.02647678,38.97763556,2008-05-28T17:50:00.000Z
8141445,-77.00368199,38.94286662,2008-10-04T22:20:00.000Z
8141566,-77.02904614,38.91063132,2008-10-05T01:45:00.000Z
8142115,-77.04169099,38.9047,2008-10-06T11:42:00.000Z
8142159,-77.00768389,38.82849602,2008-10-06T11:58:00.000Z
8150800,-76.95448671,38.88547471,2008-10-22T21:30:00.000Z
8150957,-76.9880211,38.92020117,2008-10-23T09:05:00.000Z
8150970,-77.08142218,38.90680503,2008-10-23T09:03:00.000Z
8151016,-76.9863641,38.90169785,2008-10-23T10:00:00.000Z
8143367,-76.97398492,38.86353622,2008-10-08T19:10:00.000Z
8143379,-76.99678782,38.85765657,2008-10-08T21:15:00.000Z
8169791,-76.9377673,38.88019709,2008-11-30T18:50:00.000Z
8174288,-77.03280116,38.90252281,2008-12-10T08:45:00.000Z
8174322,-77.03286071,38.95671679,2008-12-10T10:50:00.000Z
8174395,-76.98368562,38.86823136,2008-12-10T12:30:00.000Z
8174437,-76.98407604,38.92599305,2008-12-10T15:30:00.000Z
8171797,-76.92865162,38.90265877,2008-12-05T00:15:00.000Z
8045527,-76.93420531,38.88103292,2008-04-06T21:00:00.000Z
8173529,-77.0212904,38.92368606,2008-12-08T18:30:00.000Z
8173546,-77.03993107,38.91187125,2008-12-08T18:30:00.000Z
8173640,-76.92121156,38.88548403,2008-12-08T21:30:00.000Z
8173662,-77.04576354,38.90911256,2008-12-08T23:00:00.000Z
8173707,-77.01729892,38.91789437,2008-12-09T00:55:00.000Z
8173749,-77.06117459,38.90431307,2008-12-09T07:20:00.000Z
8163683,-77.07202026,38.92416126,2008-11-17T13:00:00.000Z
8163722,-76.9966961,38.84806259,2008-11-17T13:52:00.000Z
8163760,-77.06106618,38.92581603,2008-11-17T16:00:00.000Z
8174836,-76.99959915,38.83692819,2008-12-11T09:00:00.000Z
8174854,-77.08057211,38.95037885,2008-12-11T11:30:00.000Z
8174924,-77.03993107,38.91187125,2008-12-11T16:00:00.000Z
8165082,-77.02911299,38.9614201,2008-11-20T12:30:00.000Z
8166921,-76.9288557,38.8829846,2008-11-23T23:45:00.000Z
8167009,-77.04057144,38.90252938,2008-11-24T07:15:00.000Z
8167043,-77.03252503,38.90373901,2008-11-24T09:45:00.000Z
8167050,-77.00057812,38.82964935,2008-11-24T10:00:00.000Z
8164096,-77.02593347,38.94346736,2008-11-18T11:00:00.000Z
8164150,-77.03850033,38.91001602,2008-11-18T11:30:00.000Z
8164193,-76.99070728,38.83668459,2008-11-18T14:00:00.000Z
8164214,-77.01065508,38.82779312,2008-11-18T13:00:00.000Z
8164241,-77.07587586,38.96031811,2008-11-18T16:00:00.000Z
8165200,-76.9824679,38.89997673,2008-11-20T17:46:00.000Z
8170338,-76.98831562,38.88214989,2008-12-01T23:55:00.000Z
8170527,-77.06277596,38.90300601,2008-12-02T11:49:00.000Z
8175258,-77.0279594,38.96197889,2008-12-12T07:28:00.000Z
8168501,-76.97338472,38.89720945,2008-11-27T11:30:00.000Z
8168635,-76.93167097,38.90385869,2008-11-27T22:40:00.000Z
8168663,-76.97971616,38.84715102,2008-11-27T23:55:00.000Z
8172140,-76.98551498,38.88205949,2008-12-05T17:00:00.000Z
8172283,-77.037499,38.91335844,2008-12-05T21:00:00.000Z
8169641,-77.01820397,38.93993757,2008-11-30T09:40:00.000Z
8169648,-77.03286071,38.95671679,2008-11-30T11:00:00.000Z
8169653,-77.03196459,38.91372042,2008-11-30T11:00:00.000Z
8169729,-77.0212904,38.92368606,2008-11-30T15:40:00.000Z
8163529,-77.01325749,38.82605422,2008-11-17T01:35:00.000Z
8163589,-77.03958558,38.91261006,2008-11-17T08:40:00.000Z
8163644,-76.92719623,38.89408191,2008-11-17T11:30:00.000Z
8173793,-77.03654827,38.90313426,2008-12-09T10:00:00.000Z
8173796,-76.92443091,38.88205396,2008-12-09T10:14:00.000Z
8173831,-76.93007104,38.87770642,2008-12-09T14:00:00.000Z
8173351,-77.03555806,38.90565691,2008-12-08T12:00:00.000Z
8173354,-76.99034755,38.85642206,2008-12-08T09:15:00.000Z
8166724,-76.98640159,38.8864647,2008-11-23T13:30:00.000Z
8166736,-76.9288557,38.8829846,2008-11-23T13:35:00.000Z
8166855,-76.98387329,38.90462525,2008-11-23T20:10:00.000Z
8164859,-77.00889252,38.82360433,2008-11-19T21:36:00.000Z
8164974,-77.02377201,38.96495254,2008-11-20T02:40:00.000Z
8163103,-77.00057812,38.82964935,2008-11-16T02:10:00.000Z
8163238,-76.92922886,38.90183936,2008-11-13T11:00:00.000Z
8163276,-77.02165362,38.94252236,2008-11-16T13:00:00.000Z
8170206,-76.99406548,38.89733845,2008-12-01T17:15:00.000Z
8170288,-77.06061493,38.91049309,2008-12-01T22:50:00.000Z
8174264,-76.9973166,38.88980757,2008-12-10T08:00:00.000Z
8168036,-76.93716616,38.90846504,2008-11-26T09:07:00.000Z
8168047,-76.98489871,38.90774227,2008-11-26T00:00:00.000Z
8168052,-77.03079518,38.90252335,2008-11-26T10:45:00.000Z
8166322,-76.97417448,38.8491498,2008-11-22T18:55:00.000Z
8166379,-76.99578548,38.85744934,2008-11-22T21:00:00.000Z
8177537,-77.04007192,38.9162943,2008-12-16T19:30:00.000Z
8177610,-76.97630825,38.84137596,2008-12-16T21:30:00.000Z
8177648,-77.06825096,38.96207942,2008-12-17T00:25:00.000Z
8182158,-77.05081574,38.89603034,2008-12-26T18:00:00.000Z
8176873,-77.01295651,38.94437936,2008-12-15T13:40:00.000Z
8177714,-77.0279594,38.96197889,2008-12-17T07:51:00.000Z
8177739,-76.92121156,38.88548403,2008-12-17T09:15:00.000Z
8177746,-77.03364247,38.90192802,2008-12-17T10:00:00.000Z
8177806,-76.98871474,38.83620697,2008-12-17T11:00:00.000Z
8177844,-77.03622811,38.93103317,2008-12-17T15:00:00.000Z
8177904,-77.04007151,38.91557363,2008-12-17T15:40:00.000Z
8178498,-76.98071812,38.84805203,2008-12-18T16:00:00.000Z
8178650,-77.01825597,38.91779513,2008-12-19T03:00:00.000Z
8177034,-76.98379418,38.84685438,2008-12-15T18:35:00.000Z
8177076,-77.05549959,38.930368,2008-12-15T20:30:00.000Z
8177085,-76.97645628,38.84657387,2008-12-15T20:26:00.000Z
8176981,-76.97164115,38.84646469,2008-12-15T16:20:00.000Z
8177107,-76.97132988,38.93311619,2008-12-16T00:15:00.000Z
8177214,-76.98146595,38.896121,2008-12-16T03:20:00.000Z
8063682,-76.98594959,38.89910339,2008-05-12T06:30:00.000Z
8063770,-77.02655934,38.98239188,2008-05-12T12:00:00.000Z
8063800,-76.95278114,38.88508667,2008-05-12T13:24:00.000Z
8070681,-77.0005787,38.90077078,2008-05-25T15:45:00.000Z
8070688,-77.03585745,38.92787137,2008-05-25T16:00:00.000Z
8070704,-77.00511713,38.84884625,2008-05-25T16:27:00.000Z
8070804,-76.99557369,38.92841728,2008-05-25T20:45:00.000Z
